unit,idx,theme,ja,en,ipa,audioUrl,id
1,1,Wear out,大好きな靴が傷んでしまい、捨てました。,"My favorite shoes were worn out, so I threw them away.","maɪ ˈfeɪvɚɪt ʃuz wɚ ˈwɔrn aʊt, soʊ(w)aɪ θru / ðɛməˈweɪ",https://www.eight-english.com/wp-content/uploads/2026/02/My-favorite-shoes-were-worn-out-so-I-threw-them-away.mp3,U001-01
1,2,Wear out,姪や甥たちと遊んで疲れ果てました。,Playing with my nieces and nephews wore me out.,ˈpleɪ(j)ɪŋ wɪð maɪ ˈnisɪz ən ˈnɛfjuːz / wɔr mi aʊt,https://www.eight-english.com/wp-content/uploads/2026/02/Playing-with-my-nieces-and-nephews-wore-me-out.mp3,U001-02
2,3,Wear off,この薬の効果は数時間でなくなります。,The effect of this drug will wear off in a few hours.,ði jɪˈfɛkt əv / ðɪs dʒrʌɡ wɪl / wɛr ɔf / ɪn ə fju awɚz,https://www.eight-english.com/wp-content/uploads/2026/02/The-effect-of-this-drug-will-wear-off-in-a-few-hours.mp3,U001-03
2,4,Wear off,歳月による劣化で車のペイントが剥がれ始めています。,The paint on my car is starting to wear off from age.,ðə peɪnt ɔn maɪ kɑr ɪz ˈstɑrtɪŋ tə wɛr ɔf frəm eɪdʒ,https://www.eight-english.com/wp-content/uploads/2026/02/The-paint-on-my-car-is-starting-to-wear-off-from-age-1.mp3,U001-04
3,5,Wrap up,午前中全部をクリスマスプレゼントの包装に使いました。,I spent all morning wrapping up Christmas presents.,aɪ spɛn tɔl ˈmɔrnɪŋ ˈræpɪŋ ʌp ˈkrɪsməs ˈprɛzənts,https://www.eight-english.com/wp-content/uploads/2026/02/I-spent-all-morning-wrapping-up-Christmas-presents.mp3,U001-05
3,6,Wrap up,ちゃんと暖かくしてね。外はとても寒くなってきてますよ！,Be sure to wrap up. It's getting really cold outside!,bi ʃʊr də ˈræp ʌp. ɪts ˈɡɛtɪŋ ˈrɪli koʊld ˌaʊtˈsaɪd,https://www.eight-english.com/wp-content/uploads/2026/02/Be-sure-to-wrap-up.-Its-getting-really-cold-outside.mp3,U001-06
3,7,Wrap up,この会議は急いで終える必要があります。,We need to wrap up this meeting quickly.,wi nid tə ˈræp ʌp ðɪs ˈmitɪŋ / ˈkwɪkli,https://www.eight-english.com/wp-content/uploads/2026/02/We-need-to-wrap-up-this-meeting-quickly.mp3,U001-07
4,8,Work out,心配しないでください。（ちゃんと問題なく）うまくいきますよ。,Don't worry. Things are going to work out just fine.,doʊnt ˈwɝi./ θɪŋz ɚ ˈɡoʊɪŋ tə wɝk aʊt / dʒʌst faɪn,https://www.eight-english.com/wp-content/uploads/2026/02/Dont-worry.-Things-are-going-to-work-out-just-fine.mp3,U001-08
4,9,Work out,週に2回ジムでエクササイズしています。,I work out at a gym twice a week.,aɪ wɝk aʊt ət ə dʒɪm / twaɪs ə wik,https://www.eight-english.com/wp-content/uploads/2026/02/I-work-out-at-a-gym-twice-a-week.mp3,U001-09
5,1,Turn in,終わったらテスト用紙を提出してください。,Turn in your test forms when you have finished.,/tɝn ɪn jʊr tɛst fɔrmz wɛn ju hæv ˈfɪnɪʃt/,https://www.eight-english.com/wp-content/uploads/2026/03/Turn-in-your-test-forms-when-you-have-finished.mp3,U002-01
5,2,Turn in,今夜は早く寝ますね。おやすみ！,I’m going to turn in early tonight. Good night!,/aɪm ˈɡoʊɪŋ tə tɝn ɪn ˈɝli təˈnaɪt | ɡʊd naɪt/,https://www.eight-english.com/wp-content/uploads/2026/03/Im-going-to-turn-in-early-tonight.-Good-night.mp3,U002-02
5,3,Turn in,私の財布を見つけた人が警察に届けてくれました。,The person who found my wallet turned it in to the police.,/ðə ˈpɝsən hu faʊnd maɪ ˈwɑlɪt tɝnd ɪt ɪn tu ðə pəˈlis/,https://www.eight-english.com/wp-content/uploads/2026/03/The-person-who-found-my-wallet-turned-it-in-to-the-police.mp3,U002-03
6,4,Turn out,何千もの人がパレードに集まりました。,Thousands of people turned out for the parade.,/ˈθaʊzəndz əv ˈpipəl tɝnd aʊt fɚ ðə pəˈreɪd/,https://www.eight-english.com/wp-content/uploads/2026/03/Thousands-of-people-turned-out-for-the-parade.mp3,U002-04
6,5,Turn out,その企業は毎日何百台ものテレビを製造しています。,That company turns out hundreds of TVs every day.,/ðæt ˈkʌmpəni tɝnz aʊt ˈhʌndrədz əv ˌtiˈviz ˈɛvri deɪ/,https://www.eight-english.com/wp-content/uploads/2026/03/That-company-turns-out-hundreds-of-TVs-every-day.mp3,U002-05
6,6,Turn out,心配ないです。うまくいきますから。,"Don’t worry, things are going to turn out fine.",/doʊnt ˈwɝi | θɪŋz ɚ ˈɡoʊɪŋ tə tɝn aʊt faɪn/,https://www.eight-english.com/wp-content/uploads/2026/03/Dont-worry-things-are-going-to-turn-out-fine.mp3,U002-06
7,7,Call off,毎年行う出張はコロナウイルスによって中止されました。,Our annual business trip has been called off due to the coronavirus.,/aʊr ˈænjuəl ˈbɪznəs trɪp həz bɪn kɔld ɔf du tə ðə kəˈroʊnəˌvaɪrəs/,https://www.eight-english.com/wp-content/uploads/2026/03/Our-annual-business-trip-has-been-called-off-due-to-the-coronavirus.mp3,U002-07
8,8,Pass out,ひどい自動車事故を目撃した女性は気絶しました。,The woman who witnessed the horrible car accident passed out.,/ðə ˈwʊmən hu ˈwɪtnəst ðə ˈhɔrəbəl kɑr ˈæksɪdənt pæst aʊt/,https://www.eight-english.com/wp-content/uploads/2026/03/The-woman-who-witnessed-the-horrible-car-accident-passed-out.mp3,U002-08
